room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
16342773,1419,102984537,Shared room,,Salvador,SALVADOR,VITORIA,3,2.0,12,1.0,,25.0,,Cobertura Duplex,Apartment,2017-07-01 20:50:09.530915,-13.001035,-38.518154,0101000020E61000005325CADE524243C07F4DD6A887002AC0
1426446,1419,7672291,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,3,1.0,,40.0,,Quarto triplo. Pousada Cancún.,House,2017-07-01 20:50:09.528554,-13.008146,-38.528208,0101000020E610000027BEDA519C4343C0BA2F67B62B042AC0
4463506,1419,23158014,Shared room,,Salvador,SALVADOR,SE,0,0.0,5,1.0,,15.0,,Casarão no Centro-Histórico ,House,2017-07-01 20:50:09.525622,-12.97203,-38.508739,0101000020E610000091990B5C1E4143C0367689EAADF129C0
17275484,1419,42413871,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,1,1.0,,10.0,,Sofa bed in excellent neighborhood,Loft,2017-07-01 20:50:09.523019,-12.991061,-38.494666,0101000020E6100000B9382A37513F43C09FAEEE586CFB29C0
16534286,1419,107206763,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,1,1.0,,11.0,,Enjoy Bahia! Perfect location!!!,House,2017-07-01 20:50:09.520781,-13.007612,-38.488871,0101000020E61000003E7B2E53933E43C0431D56B8E5032AC0
3484366,1419,17293374,Shared room,,Salvador,SALVADOR,AMARALINA,0,0.0,1,1.0,,12.0,,Compartilho apartamento,Apartment,2017-07-01 20:50:09.518022,-13.006072,-38.46731,0101000020E6100000008C67D0D03B43C0B6D782DE1B032AC0
16534884,1419,107206763,Shared room,,Salvador,SALVADOR,BROTAS,0,0.0,1,1.0,,12.0,,Bahia - unforgettable! Welcomes you,House,2017-07-01 20:50:09.515291,-13.0077,-38.488543,0101000020E610000049D8B793883E43C0C05B2041F1032AC0
16731230,1419,35238696,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,2,1.0,,37.0,,"Suíte em Praia de Ipitanga, 100 metros da praia!!",House,2017-07-01 20:50:09.512472,-12.909833,-38.3055,0101000020E6100000C976BE9F1A2743C0A5A487A1D5D129C0
17020714,1419,114151063,Shared room,,Salvador,SALVADOR,VITORIA,0,0.0,6,1.0,,29.0,,Quartos para carnaval,House,2017-07-01 20:50:09.509763,-12.993435,-38.515929,0101000020E61000006C0723F6094243C04D672783A3FC29C0
3225179,1419,10040635,Shared room,,Salvador,SALVADOR,ITAPOA,0,0.0,3,1.0,,37.0,,Sea Sun and Maresia Room,House,2017-07-01 20:50:09.507316,-12.952642,-38.385335,0101000020E6100000888043A8523143C0929735B1C0E729C0
925457,1419,941684,Shared room,,Salvador,SALVADOR,VITORIA,6,5.0,1,1.0,,24.0,,VAGA CARNAVAL/SALVADOR/BARRA,Apartment,2017-07-01 20:50:09.505049,-13.003101,-38.523045,0101000020E61000000DAB7823F34243C0772B4B7496012AC0
